species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Bartramia_longicauda;Scolopaci+;Scolopacidae;5;1;0.020294267;0.030294267;YES;0.425112936;47.551;-101.002;101;28;1977;Before 2000;608;8278.2
Calidris_alpina;Scolopaci+;Scolopacidae;10;4;0;0.01;YES;0;58.701;-93.802;56;4;1965;Before 2000;13;195
Calidris_bairdii;Scolopaci+;Scolopacidae;11;2;0.010161053;0.020161053;YES;0.219777852;68.55;-83.317;120;4;1982;Before 2000;25;492.075
Calidris_himantopus;Scolopaci+;Scolopacidae;15;1;0.008573388;0.018573388;YES;0.186694464;58.701;-93.802;56;4;1965;Before 2000;43;583.2
Calidris_minutilla;Scolopaci+;Scolopacidae;20;1;0.008169935;0.018169935;YES;0.178713935;58.701;-93.802;56;4;1965;Before 2000;56;734.4
Catoptrophorus_semipalmatus;Scolopaci+;Scolopacidae;26;1;0.02750191;0.03750191;YES;0.535548018;47.551;-101.002;101;28;1977;Before 2000;77;981.75
Charadrius_alexandrinus;Charadrii;Charadriidae;45;2;0.052760505;0.062760505;YES;0.792348951;41.687;12.375;25;4;1992;Before 2000;45;530.7
Charadrius_melodus;Charadrii;Charadriidae;52;2;0.051523298;0.061523298;YES;0.805988845;52.617;-109.983;44;2;1996;Before 2000;36;446.4
Charadrius_obscurus;Charadrii;Charadriidae;46;1;0.018621974;0.028621974;YES;0.462227148;-37.557;176.058;85;8;1995;Before 2000;261;5316.3
Charadrius_semipalmatus;Charadrii;Charadriidae;61;1;0;0.01;YES;0;58.695;-94.082;56;4;1965;Before 2000;15;243.6
Charadrius_vociferus;Charadrii;Charadriidae;63;1;0.016444258;0.026444258;YES;0.377110766;47.551;-101.002;101;28;1977;Before 2000;128;1824.345
Chionis_albus;Charadrii;Other;65;1;0.009827044;0.019827044;YES;0.27095567;-62.168;-58.693;68;3;1988;Before 2000;29;508.8
Gallinago_delicata;Scolopaci+;Scolopacidae;31;1;0.024743726;0.034743726;YES;0.438006465;47.551;-101.002;101;28;1977;Before 2000;24;282.9
Glareola_nuchalis;Scolopaci+;Other;33;1;0.056216931;0.066216931;YES;0.703301179;0.499;12.812;96;9;1974;Before 2000;36;302.4
Haematopus_fuliginosus;Charadrii;Other;37;1;0.029761905;0.039761905;YES;0.570865891;-40.094;148.088;45;2;1988;Before 2000;65;873.6
Haematopus_longirostris;Charadrii;Other;39;1;0.020215633;0.030215633;YES;0.435512725;-40.094;148.088;45;2;1988;Before 2000;31;445.2
Haematopus_moquini;Charadrii;Other;40;2;0;0.01;YES;0;-34.46;20.552;33;6;1986;Before 2000;19;266
Haematopus_ostralegus;Charadrii;Other;36;4;0.019746336;0.029746336;YES;0.43356964;46.391;32.033;71;7;1987;Before 2000;90;1316.7
Limosa_fedoa;Scolopaci+;Scolopacidae;71;1;0.022429262;0.032429262;YES;0.470154299;47.551;-101.002;101;28;1977;Before 2000;43;579.6
Limosa_haemastica;Scolopaci+;Scolopacidae;72;1;0.00537;0.01537;YES;0.14;58.701;-93.802;56;4;1965;Before 2000;12;186.3
Limosa_lapponica;Scolopaci+;Scolopacidae;73;1;0.015540016;0.025540016;YES;0.32134011;69;24;66;3;1988;Before 2000;15;193.05
