species;clade;family;spec_nr;pop_nr;DPR_orig;DPR_trans;TPR_orig_100;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Calidris_temminckii;Scolopaci+;Scolopacidae;24;3;0.074576271;0;0.85369888;85.369888;67.025;-174.142;15;3;1987;Before 2000;19;147.5
Calidris_tenuirostris;Scolopaci+;Scolopacidae;25;1;0.029360492;1;0.538518623;53.8518623;64.844;178.314;6;3;1994;Before 2000;13;136.2375
Catoptrophorus_semipalmatus;Scolopaci+;Scolopacidae;26;1;0.02750191;1;0.535548018;53.5548018;47.551;-101.002;101;28;1977;Before 2000;77;981.75
Charadrius_alexandrinus;Charadrii;Charadriidae;45;1;0.036695267;1;0.66182062;66.182062;46.667;19.167;90;2;1991;Before 2000;58;926.55
Charadrius_alexandrinus;Charadrii;Charadriidae;45;2;0.052760505;1;0.792348951;79.2348951;41.687;12.375;25;4;1992;Before 2000;45;530.7
Charadrius_bicinctus;Charadrii;Charadriidae;47;2;0.011579818;1;0.303069073;30.3069073;-43.545;172.186;113;2;1982;Before 2000;127;1813.5
Charadrius_bicinctus;Charadrii;Charadriidae;47;1;0.012288787;1;0.318400105;31.8400105;-44.333;170.194;104;3;1999;Before 2000;39;651
Charadrius_dubius;Charadrii;Charadriidae;48;3;0;1;0;0;50.195;15.977;105;10;1982;Before 2000;40;487.35
Charadrius_hiaticula;Charadrii;Charadriidae;50;5;0.022321429;1;0.468515379;46.8515379;68.61;171.241;12;9;1976;Before 2000;19;268.8
Charadrius_hiaticula;Charadrii;Charadriidae;50;3;0.030482642;0;0.579702803;57.9702803;55.667;-1.833;75;2;1975;Before 2000;111;1181
Charadrius_hiaticula;Charadrii;Charadriidae;50;2;0.032967033;0;0.608838741;60.8838741;72.233;-23.917;88;1;1974;Before 2000;13;182
Charadrius_hiaticula;Charadrii;Charadriidae;50;1;0.051154369;0;0.770133466;77.0133466;57.338;-7.385;125;5;1991;Before 2000;183;2209
Charadrius_hiaticula;Charadrii;Charadriidae;50;4;0.163616792;0;0.993280321;99.3280321;56.76;-2.418;31;2;1975;Before 2000;82;464.5
Charadrius_melodus;Charadrii;Charadriidae;52;2;0.051523298;1;0.805988845;80.5988845;52.617;-109.983;44;2;1996;Before 2000;36;446.4
Charadrius_montanus;Charadrii;Charadriidae;54;1;0.027223902;1;0.580814682;58.0814682;47.8;-108.017;103;6;1998;Before 2000;584;8779.05
Charadrius_nivosus;Charadrii;Charadriidae;55;4;0.032971562;1;0.62178554;62.178554;36.727;-121.796;93;7;1987;Before 2000;690;8734.8
Charadrius_nivosus;Charadrii;Charadriidae;55;3;0.042875388;1;0.71940105;71.940105;41.083;-112.117;48;4;1991;Before 2000;359;4384.8
Charadrius_nivosus;Charadrii;Charadriidae;55;2;0.062318239;1;0.845257861;84.5257861;26.267;-97.367;74;2;1995;Before 2000;67;722.1
Charadrius_obscurus;Charadrii;Charadriidae;46;1;0.018621974;1;0.462227148;46.2227148;-37.557;176.058;85;8;1995;Before 2000;261;5316.3
Charadrius_semipalmatus;Charadrii;Charadriidae;61;1;0;1;0;0;58.695;-94.082;56;4;1965;Before 2000;15;243.6
Charadrius_semipalmatus;Charadrii;Charadriidae;61;2;0.019569472;1;0.424995663;42.4995663;54.017;-132.133;46;5;1986;Before 2000;47;613.2
Charadrius_vociferus;Charadrii;Charadriidae;63;1;0.016444258;1;0.377110766;37.7110766;47.551;-101.002;101;28;1977;Before 2000;128;1824.345
Charadrius_wilsonia;Charadrii;Charadriidae;64;3;0.015584416;0;0.3507556;35.07556;28.164;-96.741;84;1;1980;Before 2000;26;385
Charadrius_wilsonia;Charadrii;Charadriidae;64;2;0.039130435;0;0.666364668;66.6364668;26.267;-97.367;74;1;1979;Before 2000;20;230
Chionis_albus;Charadrii;Other;65;1;0.009827044;1;0.27095567;27.095567;-62.168;-58.693;68;3;1988;Before 2000;29;508.8
Coenocorypha_aucklandica;Scolopaci+;Scolopacidae;27;1;0;1;0;0;-48.03333;166.6;123;6;1984;Before 2000;40;842.4
Eudromias_morinellus;Charadrii;Charadriidae;29;1;0.025376685;0;0.525466264;52.5466264;60.383;7.633;50;7;1982;Before 2000;53;630.5
Eurynorhynchus_pygmeus;Scolopaci+;Scolopacidae;30;1;0.04057971;1;0.614339935;61.4339935;68.61;171.241;12;9;1976;Before 2000;16;172.5
Gallinago_delicata;Scolopaci+;Scolopacidae;31;1;0.024743726;1;0.438006465;43.8006465;47.551;-101.002;101;28;1977;Before 2000;24;282.9
Gallinago_gallinago;Scolopaci+;Scolopacidae;32;1;0.006;0;0.129263317;12.9263317;52.308;5.526;134;10;1979;Before 2000;500;6000
Glareola_nuchalis;Scolopaci+;Other;33;2;0.051948052;0;0.673806852;67.3806852;-17.836;25.709;95;1;1987;Before 2000;12;77
Glareola_nuchalis;Scolopaci+;Other;33;1;0.056216931;1;0.703301179;70.3301179;0.499;12.812;96;9;1974;Before 2000;36;302.4
Haematopus_fuliginosus;Charadrii;Other;37;1;0.029761905;1;0.570865891;57.0865891;-40.094;148.088;45;2;1988;Before 2000;65;873.6
Haematopus_longirostris;Charadrii;Other;39;1;0.020215633;1;0.435512725;43.5512725;-40.094;148.088;45;2;1988;Before 2000;31;445.2
Haematopus_moquini;Charadrii;Other;40;2;0;1;0;0;-34.46;20.552;33;6;1986;Before 2000;19;266
Haematopus_ostralegus;Charadrii;Other;36;5;0.011138959;1;0.273300077;27.3300077;-43.545;172.186;113;2;1982;Before 2000;13;179.55
Haematopus_ostralegus;Charadrii;Other;36;2;0.011251758;0;0.275658877;27.5658877;57.338;-7.385;125;2;1996;Before 2000;86;1422
Haematopus_ostralegus;Charadrii;Other;36;1;0.014;0;0.330898389;33.0898389;52.308;5.526;134;10;1979;Before 2000;500;6500
Haematopus_ostralegus;Charadrii;Other;36;4;0.019746336;1;0.43356964;43.356964;46.391;32.033;71;7;1987;Before 2000;90;1316.7
Himantopus_himantopus;Charadrii;Other;43;2;0.007065889;1;0.178624123;17.8624123;-43.545;172.186;113;2;1982;Before 2000;13;141.525
Himantopus_himantopus;Charadrii;Other;43;1;0.020334536;0;0.43453087;43.453087;36.95;-6.233;35;2;1990;Before 2000;233;3049
Himantopus_novaezelandiae;Charadrii;Other;44;1;0.038095238;1;0.656337572;65.6337572;-43.862;170.45;24;3;1978;Before 2000;27;288.75
Jacana_jacana;Scolopaci+;Other;66;1;0.006613757;1;0.191312876;19.1312876;6.464;-57.76;19;1;1977;Before 2000;34;604.8
Jacana_spinosa;Scolopaci+;Other;67;1;0.045155993;1;0.772051024;77.2051024;10.27;-85.225;36;2;1980;Before 2000;148;1948.8
Limnodromus_scolopaceus;Scolopaci+;Scolopacidae;70;1;0.013302295;1;0.277288664;27.7288664;70.38;-149.534;73;4;1990;Before 2000;17;225.525
Limnodromus_scolopaceus;Scolopaci+;Scolopacidae;70;2;0.042955327;1;0.655169156;65.5169156;68.61;171.241;12;9;1976;Before 2000;21;232.8
Limosa_fedoa;Scolopaci+;Scolopacidae;71;1;0.022429262;1;0.470154299;47.0154299;47.551;-101.002;101;28;1977;Before 2000;43;579.6
Limosa_haemastica;Scolopaci+;Scolopacidae;72;1;0.00537;1;0.14;14;58.701;-93.802;56;4;1965;Before 2000;12;186.3
Limosa_lapponica;Scolopaci+;Scolopacidae;73;1;0.015540016;1;0.32134011;32.134011;69;24;66;3;1988;Before 2000;15;193.05
Limosa_limosa;Scolopaci+;Scolopacidae;74;1;0.011;0;0.25817772;25.817772;52.308;5.526;134;10;1979;Before 2000;5000;70000
Limosa_limosa;Scolopaci+;Scolopacidae;74;2;0.0255947;1;0.503441743;50.3441743;52.517;4.783;146;4;1985;Before 2000;420;5313.6
Metopidius_indicus;Scolopaci+;Other;75;1;0.056638348;1;0.815639308;81.5639308;9.183;77.383;144;3;1996;Before 2000;20;300.15
Numenius_americanus;Scolopaci+;Scolopacidae;76;1;0.024054983;0;0.552248979;55.2248979;43.868;-116.733;89;3;1978;Before 2000;119;1746
Numenius_arquata;Scolopaci+;Scolopacidae;77;5;0.002435065;0;0.079101603;7.9101603;63.083;22.933;65;3;1996;Before 2000;66;1232
Numenius_arquata;Scolopaci+;Scolopacidae;77;6;0.024955437;0;0.574375206;57.4375206;59.817;16.55;143;3;1988;Before 2000;113;1683
Numenius_arquata;Scolopaci+;Scolopacidae;77;3;0.048401037;0;0.813042088;81.3042088;54.303;-7.616;79;2;1994;Before 2000;170;1735.5
Numenius_arquata;Scolopaci+;Scolopacidae;77;4;0.051593323;0;0.833114896;83.3114896;61.367;22.833;139;3;1996;Before 2000;53;659
Numenius_arquata;Scolopaci+;Scolopacidae;77;2;0.07000307;0;0.913964993;91.3964993;54.821;-6.058;8;3;1993;Before 2000;191;1628.5
Numenius_arquata;Scolopaci+;Scolopacidae;77;1;0.052596976;1;0.838981745;83.89817447;53.053;-3.633;51;2;1984;Before 2000;35;456.3
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;3;0.011730205;0;0.289784519;28.9784519;67.733;29.617;141;8;1974;Before 2000;29;341
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;2;0.014397121;0;0.343315229;34.3315229;58.701;-93.802;56;2;1973;Before 2000;55;833.5
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;1;0.084505568;0;0.922729181;92.2729181;69;24;66;3;1988;Before 2000;20;234.9
Phalaropus_fulicarius;Scolopaci+;Scolopacidae;80;1;0.009746589;1;0.20013496;20.013496;70.38;-149.534;73;4;1990;Before 2000;56;718.2
