species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Belt2;Longitude;Loc_nr;Continent;years_nr;mean_year;period_orig;period_minus5;period_plus5;N_nests;Exposure;research_intensity
Calidris_bairdii;Scolopaci;Scolopacidae;11;2;0.010161053;0.020161053;YES;0.219777852;21.9777852;68.55;Arctic;5_Arctic;-83.317;120;AME;4;1982;before 2000;before 1995;before 2005;25;492.075;1_small
Calidris_canutus;Scolopaci;Scolopacidae;12;1;0.032608696;0.042608696;NO;0.577665401;57.7665401;76.083;Arctic;5_Arctic;98.533;69;ASI;3;1991;before 2000;before 1995;before 2005;18;184;2_medium
Calidris_ferruginea;Scolopaci;Scolopacidae;13;2;0.01948052;0.02948052;NO;0.38486733;38.486733;73.079;Arctic;5_Arctic;80.654;86;ASI;1;2002;after 2000;after 1995;before 2005;12;154;3_high
Calidris_ferruginea;Scolopaci;Scolopacidae;13;1;0;0.01;YES;0;0;75.267;Arctic;5_Arctic;112.467;109;ASI;1;1991;before 2000;before 1995;before 2005;25;235;3_high
Calidris_fuscicollis;Scolopaci;Scolopacidae;14;2;0.054393305;0.064393305;NO;0.766399379;76.6399379;69.4;Arctic;5_Arctic;-81.6;57;AME;2;2013;after 2000;after 1995;after 2005;23;239;2_medium
Calidris_fuscicollis;Scolopaci;Scolopacidae;14;1;0.074786325;0.084786325;YES;0.86747643;86.747643;72.883;Arctic;5_Arctic;-78.917;111;AME;2;2007;after 2000;after 1995;after 2005;20;187.2;2_medium
Calidris_himantopus;Scolopaci;Scolopacidae;15;2;0.013102725;0.023102725;YES;0.271336876;27.1336876;70.38;Arctic;5_Arctic;-149.534;73;AME;4;1990;before 2000;before 1995;before 2005;29;381.6;3_high
Calidris_himantopus;Scolopaci;Scolopacidae;15;3;0.034482759;0.044482759;NO;0.56923461;56.923461;70.1;Arctic;5_Arctic;-145.8;22;AME;5;2012;after 2000;after 1995;after 2005;17;174;1_small
Calidris_himantopus;Scolopaci;Scolopacidae;15;1;0.008573388;0.018573388;YES;0.186694464;18.6694464;58.701;North temperate;4_North temperate;-93.802;56;AME;4;1965;before 2000;before 1995;before 2005;43;583.2;1_small
Calidris_maritima;Scolopaci;Scolopacidae;16;1;0.024981548;0.034981548;YES;0.478708676;47.8708676;78.217;Arctic;5_Arctic;15.583;78;EUR;3;1994;before 2000;before 1995;before 2005;34;440.325;3_high
Calidris_mauri;Scolopaci;Scolopacidae;17;1;0.04089441;0.05089441;NO;0.647904434;64.7904434;64.449;Arctic;5_Arctic;-164.977;2;AME;6;2004;after 2000;after 1995;before 2005;322;3351;3_high
Calidris_mauri;Scolopaci;Scolopacidae;17;2;0.03373494;0.04373494;YES;0.57595993;57.595993;66.098546;Arctic;5_Arctic;-169.845542;137;ASI;3;1979;before 2000;before 1995;before 2005;52;622.5;3_high
Calidris_mauri;Scolopaci;Scolopacidae;17;5;0.045612009;0.055612009;NO;0.688739402;68.8739402;67.1;Arctic;5_Arctic;-163.5;23;AME;5;2012;after 2000;after 1995;after 2005;157;1732;3_high
Calidris_mauri;Scolopaci;Scolopacidae;17;4;0.011814346;0.021814346;YES;0.257043104;25.7043104;61.725;Arctic;5_Arctic;-165.523;70;AME;3;1997;before 2000;after 1995;before 2005;215;2962.5;2_medium
Calidris_mauri;Scolopaci;Scolopacidae;17;3;0.033333333;0.043333333;YES;0.571531815;57.1531815;68.61;Arctic;5_Arctic;171.241;12;ASI;9;1976;before 2000;before 1995;before 2005;20;240;2_medium
Calidris_melanotos;Scolopaci;Scolopacidae;18;1;0.015323322;0.025323322;YES;0.330678238;33.0678238;70.38;Arctic;5_Arctic;-149.534;73;AME;4;1998;before 2000;after 1995;before 2005;141;1957.8;3_high
Calidris_melanotos;Scolopaci;Scolopacidae;18;2;0.026990553;0.036990553;YES;0.509042979;50.9042979;68.61;Arctic;5_Arctic;171.241;12;ASI;9;1976;before 2000;before 1995;before 2005;23;296.4;2_medium
Calidris_melanotos;Scolopaci;Scolopacidae;18;4;0.208604954;0.218604954;NO;0.997718468;99.7718468;72.906;Arctic;5_Arctic;106.104;80;ASI;2;2013;after 2000;after 1995;after 2005;88;383.5;2_medium
Calidris_melanotos;Scolopaci;Scolopacidae;18;3;0.045454546;0.055454546;NO;0.701659673;70.1659673;73.2;Arctic;5_Arctic;-80;21;AME;6;2011;after 2000;after 1995;after 2005;13;110;2_medium
Calidris_minuta;Scolopaci;Scolopacidae;19;1;0.019525802;0.029525802;NO;0.383140654;38.3140654;73.079;Arctic;5_Arctic;80.654;86;ASI;1;2002;after 2000;after 1995;before 2005;126;1434;3_high
Calidris_minuta;Scolopaci;Scolopacidae;19;2;0.114942529;0.124942529;NO;0.949788745;94.9788745;72.906;Arctic;5_Arctic;106.104;80;ASI;2;2013;after 2000;after 1995;after 2005;17;87;1_small
Calidris_minutilla;Scolopaci;Scolopacidae;20;2;0.023700306;0.033700306;YES;0.43766427;43.766427;54.017;North temperate;4_North temperate;-132.133;46;AME;5;1986;before 2000;before 1995;before 2005;344;3924;3_high
Calidris_minutilla;Scolopaci;Scolopacidae;20;1;0.008169935;0.018169935;YES;0.178713935;17.8713935;58.701;North temperate;4_North temperate;-93.802;56;AME;4;1965;before 2000;before 1995;before 2005;56;734.4;1_small
Calidris_ptilocnemis;Scolopaci;Scolopacidae;21;1;0.015952144;0.025952144;NO;0.320187303;32.0187303;66.066;Arctic;5_Arctic;-170.7;137;ASI;3;1979;before 2000;before 1995;before 2005;35;501.5;3_high
Calidris_pusilla;Scolopaci;Scolopacidae;22;2;0.03943284;0.04943284;NO;0.611490387;61.1490387;64.449;Arctic;5_Arctic;-164.977;2;AME;3;1994;before 2000;before 1995;before 2005;134;938;3_high
Calidris_pusilla;Scolopaci;Scolopacidae;22;4;0.08411215;0.09411215;NO;0.873148969;87.3148969;69.4;Arctic;5_Arctic;-81.6;57;AME;2;2013;after 2000;after 1995;after 2005;15;107;3_high
