species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Haematopus_palliatus;Charadrii;Other;41;1;0.03117506;0.04117506;NO;0.59769756;30.865;-81.45;29;2;2003;After 2000;30;417
Limosa_haemastica;Scolopaci+;Scolopacidae;72;1;0.03397;0.04397;NO;0.61;58.701;-93.802;56;3;2013;After 2000;21;235.5
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;5;0.034782609;0.044782609;NO;0.641797169;55.2;-84.3;20;3;2013;After 2000;30;287.5
Phalaropus_fulicarius;Scolopaci+;Scolopacidae;80;3;0.056876061;0.066876061;NO;0.736871481;70.1;-145.8;22;5;2012;After 2000;139;1178
Pluvialis_dominica;Charadrii;Charadriidae;84;2;0.017777778;0.027777778;NO;0.439256023;71.3;-156.6;10;6;2005;After 2000;53;900
Vanellus_chilensis;Charadrii;Charadriidae;106;1;0.0234;0.0334;NO;0.531256738;-15.815;-47.879;17;1;2007;After 2000;36;639
Vanellus_vanellus;Charadrii;Charadriidae;109;10;0.027;0.037;NO;0.571946504;53.184;-3.114;43;2;2003;After 2000;241;2410
Vanellus_vanellus;Charadrii;Charadriidae;109;2;0.034056282;0.044056282;NO;0.658408946;49.115;14.268;26;8;2006;After 2000;505;6694.8
Calidris_bairdii;Scolopaci+;Scolopacidae;11;1;0.072965006;0.082965006;YES;0.841351519;72.883;-78.917;111;2;2006;After 2000;37;342.63
Calidris_fuscicollis;Scolopaci+;Scolopacidae;14;1;0.074786325;0.084786325;YES;0.86747643;72.883;-78.917;111;2;2007;After 2000;20;187.2
Charadrius_melodus;Charadrii;Charadriidae;52;3;0.01684156;0.02684156;YES;0.409351822;50.433;-106.667;53;3;2003;After 2000;149;2315.7
Charadrius_nivosus;Charadrii;Charadriidae;55;1;0.041828198;0.051828198;YES;0.710360235;37.587;-122.118;1;2;2009;After 2000;247;2940.6
Gallinago_gallinago;Scolopaci+;Scolopacidae;32;3;0.010869565;0.020869565;YES;0.222264372;53.709;27.953;145;2;2000;After 2000;19;184
