species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;Latitude;Belt;Longitude;Loc_nr;years_nr;mean_year;period;N_nests;Exposure
Tringa_erythropus;Scolopaci+;Scolopacidae;97;1;0.008580009;0.018580009;YES;0.212681608;68.61;Arctic;171.241;12;9;1976;before 2000;15;233.1
Limosa_lapponica;Scolopaci+;Scolopacidae;73;1;0.015540016;0.025540016;YES;0.32134011;69;Arctic;24;66;3;1988;before 2000;15;193.05
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;1;0.084505568;0.094505568;NO;0.922729181;69;Arctic;24;66;3;1988;before 2000;20;234.9
Phalaropus_lobatus;Scolopaci+;Scolopacidae;81;1;0.060560933;0.070560933;NO;0.754786786;69.045;Arctic;-135.048;82;6;2011;after 2000;122;1007.25
Calidris_fuscicollis;Scolopaci+;Scolopacidae;14;2;0.054393305;0.064393305;NO;0.766399379;69.4;Arctic;-81.6;57;2;2013;after 2000;23;239
Calidris_pusilla;Scolopaci+;Scolopacidae;22;4;0.08411215;0.09411215;NO;0.873148969;69.4;Arctic;-81.6;57;2;2013;after 2000;15;107
Calidris_himantopus;Scolopaci+;Scolopacidae;15;3;0.034482759;0.044482759;NO;0.56923461;70.1;Arctic;-145.8;22;5;2012;after 2000;17;174
Phalaropus_fulicarius;Scolopaci+;Scolopacidae;80;3;0.056876061;0.066876061;NO;0.736871481;70.1;Arctic;-145.8;22;5;2012;after 2000;139;1178
Tryngites_subruficollis;Scolopaci+;Scolopacidae;102;3;0.049180328;0.059180328;NO;0.74375802;70.1;Arctic;-145.8;22;3;2012;after 2000;15;183
Calidris_alpina;Scolopaci+;Scolopacidae;10;3;0.01025641;0.02025641;YES;0.227199417;70.38;Arctic;-149.534;73;4;1990;before 2000;35;487.5
Calidris_himantopus;Scolopaci+;Scolopacidae;15;2;0.013102725;0.023102725;YES;0.271336876;70.38;Arctic;-149.534;73;4;1990;before 2000;29;381.6
Calidris_melanotos;Scolopaci+;Scolopacidae;18;1;0.015323322;0.025323322;YES;0.330678238;70.38;Arctic;-149.534;73;4;1998;before 2000;141;1957.8
Calidris_pusilla;Scolopaci+;Scolopacidae;22;1;0.010074786;0.020074786;YES;0.211764346;70.38;Arctic;-149.534;73;5;1995;before 2000;196;2580.7
Limnodromus_scolopaceus;Scolopaci+;Scolopacidae;70;1;0.013302295;0.023302295;YES;0.277288664;70.38;Arctic;-149.534;73;4;1990;before 2000;17;225.525
Phalaropus_fulicarius;Scolopaci+;Scolopacidae;80;1;0.009746589;0.019746589;YES;0.20013496;70.38;Arctic;-149.534;73;4;1990;before 2000;56;718.2
Phalaropus_lobatus;Scolopaci+;Scolopacidae;81;5;0.03125;0.04125;NO;0.510487711;70.38;Arctic;-149.534;73;2;2011;after 2000;13;128
Pluvialis_dominica;Charadrii;Charadriidae;84;1;0.023852117;0.033852117;YES;0.540930286;70.38;Arctic;-149.534;73;4;1990;before 2000;24;377.325
Pluvialis_squatarola;Charadrii;Charadriidae;86;1;0.014316392;0.024316392;YES;0.367345343;70.38;Arctic;-149.534;73;4;1990;before 2000;25;419.1
Tryngites_subruficollis;Scolopaci+;Scolopacidae;102;1;0.01610306;0.02610306;YES;0.354881536;70.38;Arctic;-149.534;73;4;1990;before 2000;26;372.6
Calidris_pusilla;Scolopaci+;Scolopacidae;22;5;0.021274109;0.031274109;NO;0.396697233;70.4;Arctic;-150.7;28;4;2012;after 2000;327;4277.5
Pluvialis_squatarola;Charadrii;Charadriidae;86;4;0.009237875;0.019237875;NO;0.255219465;70.4;Arctic;-150.7;28;4;2012;after 2000;21;433
Calidris_pusilla;Scolopaci+;Scolopacidae;22;6;0.041516246;0.051516246;NO;0.630816932;70.6;Arctic;-154.7;58;4;2012;after 2000;203;2216
Limnodromus_scolopaceus;Scolopaci+;Scolopacidae;70;4;0.081632653;0.091632653;NO;0.873191455;70.6;Arctic;-154.7;58;3;2012;after 2000;22;196
Limnodromus_scolopaceus;Scolopaci+;Scolopacidae;70;3;0.033212996;0.043212996;NO;0.559169142;71.3;Arctic;-156.6;10;8;2011;after 2000;171;2077.5
Pluvialis_dominica;Charadrii;Charadriidae;84;2;0.017777778;0.027777778;NO;0.439256023;71.3;Arctic;-156.6;10;6;2005;after 2000;53;900
Tryngites_subruficollis;Scolopaci+;Scolopacidae;102;2;0.015037594;0.025037594;NO;0.335751356;71.3;Arctic;-156.6;10;1;2006;after 2000;19;266
Pluvialis_squatarola;Charadrii;Charadriidae;86;2;0.014998125;0.024998125;YES;0.381091335;71.333;Arctic;-179.5;147;1;2007;after 2000;16;266.7
Charadrius_hiaticula;Charadrii;Charadriidae;50;2;0.032967033;0.042967033;NO;0.608838741;72.233;Arctic;-23.917;88;1;1974;before 2000;13;182
Calidris_bairdii;Scolopaci+;Scolopacidae;11;1;0.072965006;0.082965006;YES;0.841351519;72.883;Arctic;-78.917;111;2;2006;after 2000;37;342.63
Calidris_fuscicollis;Scolopaci+;Scolopacidae;14;1;0.074786325;0.084786325;YES;0.86747643;72.883;Arctic;-78.917;111;2;2007;after 2000;20;187.2
Calidris_acuminata;Scolopaci+;Scolopacidae;8;1;0.129032258;0.139032258;NO;0.972454299;72.906;Arctic;106.104;80;12;2006;after 2000;15;77.5
Calidris_melanotos;Scolopaci+;Scolopacidae;18;4;0.208604954;0.218604954;NO;0.997718468;72.906;Arctic;106.104;80;2;2013;after 2000;88;383.5
Calidris_minuta;Scolopaci+;Scolopacidae;19;2;0.114942529;0.124942529;NO;0.949788745;72.906;Arctic;106.104;80;2;2013;after 2000;17;87
Limicola_falcinellus;Scolopaci+;Scolopacidae;68;1;0.041172596;0.051172596;YES;0.654829965;72.906;Arctic;106.104;80;12;2006;after 2000;16;242.88
Philomachus_pugnax;Scolopaci+;Scolopacidae;82;3;0.103174603;0.113174603;NO;0.937762605;72.906;Arctic;106.104;80;2;2013;after 2000;37;252
Pluvialis_fulva;Charadrii;Charadriidae;85;3;0.121212121;0.131212121;NO;0.986381009;72.906;Arctic;106.104;80;2;2013;after 2000;16;115.5
Calidris_alpina;Scolopaci+;Scolopacidae;10;6;0.015267176;0.025267176;NO;0.319292766;73.079;Arctic;80.654;86;1;2002;after 2000;27;393
Calidris_ferruginea;Scolopaci+;Scolopacidae;13;2;0.01948052;0.02948052;NO;0.38486733;73.079;Arctic;80.654;86;1;2002;after 2000;12;154
Calidris_minuta;Scolopaci+;Scolopacidae;19;1;0.019525802;0.029525802;NO;0.383140654;73.079;Arctic;80.654;86;1;2002;after 2000;126;1434
Pluvialis_fulva;Charadrii;Charadriidae;85;2;0.023872679;0.033872679;NO;0.552193827;73.079;Arctic;80.654;86;1;2002;after 2000;23;377
Calidris_bairdii;Scolopaci+;Scolopacidae;11;3;0.04826546;0.05826546;NO;0.699437573;73.2;Arctic;-80;21;10;2009;after 2000;160;1657.5
Calidris_melanotos;Scolopaci+;Scolopacidae;18;3;0.045454546;0.055454546;NO;0.701659673;73.2;Arctic;-80;21;6;2011;after 2000;13;110
Pluvialis_dominica;Charadrii;Charadriidae;84;4;0.064653858;0.074653858;NO;0.88415999;73.2;Arctic;-80;21;9;2009;after 2000;176;1639.5
Calidris_alba;Scolopaci+;Scolopacidae;9;2;0.032404407;0.042404407;NO;0.633846331;74.478;Arctic;-20.555;149;10;2001;after 2000;74;771.5
Calidris_ferruginea;Scolopaci+;Scolopacidae;13;1;0;0.01;YES;0;75.267;Arctic;112.467;109;1;1991;before 2000;25;235
Calidris_alba;Scolopaci+;Scolopacidae;9;1;0.014255168;0.024255168;YES;0.354616992;75.728;Arctic;-99.094;11;2;1968;before 2000;14;210.45
Calidris_canutus;Scolopaci+;Scolopacidae;12;1;0.032608696;0.042608696;NO;0.577665401;76.083;Arctic;98.533;69;3;1991;before 2000;18;184
Calidris_maritima;Scolopaci+;Scolopacidae;16;1;0.024981548;0.034981548;YES;0.478708676;78.217;Arctic;15.583;78;3;1994;before 2000;34;440.325
